a,b,num_pairs,normalized,url_a,url_b
Z185912505,Z184140306,104,0.12590799031476999,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z184140306
Z185912505,Z168091302,104,0.12575574365175332,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z168091302
Z185912505,Z15657730X,104,0.14207650273224043,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z15657730X
Z185912505,Z182900000,104,0.14878397711015737,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z182900000
Z185912505,Z185142207,104,0.10379241516966067,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z185142207
Z185912505,Z180631800,104,0.08702928870292886,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z180631800
Z185912505,Z168353709,104,0.13997308209959622,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z168353709
Z185912505,Z176245508,104,0.0647571606475716,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z176245508
Z185912505,Z178362103,104,0.1352405721716515,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z178362103
Z185912505,Z164752105,104,0.15316642120765833,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z164752105
Z185912505,Z165780108,104,0.12278630460448642,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z165780108
Z180628606,Z164172903,102,0.13509933774834437,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z164172903
Z180628606,Z167120604,102,0.11538461538461539,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z167120604
Z167120604,Z185143704,102,0.23234624145785876,http://data.onb.ac.at/ABO/+Z167120604,http://data.onb.ac.at/ABO/+Z185143704
Z164172903,Z185143704,102,0.32903225806451614,http://data.onb.ac.at/ABO/+Z164172903,http://data.onb.ac.at/ABO/+Z185143704
Z165709803,Z156577207,100,0.1466275659824047,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z156577207
Z156771000,Z156577207,100,0.16129032258064516,http://data.onb.ac.at/ABO/+Z156771000,http://data.onb.ac.at/ABO/+Z156577207
Z185157107,Z156577207,100,0.37174721189591076,http://data.onb.ac.at/ABO/+Z185157107,http://data.onb.ac.at/ABO/+Z156577207
Z156577207,Z168354106,100,0.398406374501992,http://data.onb.ac.at/ABO/+Z156577207,http://data.onb.ac.at/ABO/+Z168354106
Z156577207,Z185157909,100,0.3424657534246575,http://data.onb.ac.at/ABO/+Z156577207,http://data.onb.ac.at/ABO/+Z185157909
Z182822001,Z25647300X,98,0.22580645161290322,http://data.onb.ac.at/ABO/+Z182822001,http://data.onb.ac.at/ABO/+Z25647300X
Z185142001,Z158160208,96,0.09815950920245399,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z158160208
Z185142001,Z15958790X,96,0.25806451612903225,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z15958790X
Z163300909,Z164172903,84,0.16184971098265896,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z164172903
Z163300909,Z167120604,84,0.12962962962962962,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z167120604
Z156843801,Z184929303,84,0.11096433289299867,http://data.onb.ac.at/ABO/+Z156843801,http://data.onb.ac.at/ABO/+Z184929303
Z185142001,Z182822001,84,0.22340425531914893,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z182822001
Z185142001,Z25647300X,84,0.23595505617977527,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z25647300X
Z185142207,Z184929303,84,0.15356489945155394,http://data.onb.ac.at/ABO/+Z185142207,http://data.onb.ac.at/ABO/+Z184929303
Z178362103,Z184929303,84,0.267515923566879,http://data.onb.ac.at/ABO/+Z178362103,http://data.onb.ac.at/ABO/+Z184929303
Z160260500,Z164172903,84,0.19444444444444445,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z164172903
Z160260500,Z167120604,84,0.1497326203208556,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z167120604
Z180631800,Z184929303,84,0.11351351351351352,http://data.onb.ac.at/ABO/+Z180631800,http://data.onb.ac.at/ABO/+Z184929303
