cluster,barcode,abo_url
67,Z182417404,http://data.onb.ac.at/ABO/+Z182417404
67,Z167109505,http://data.onb.ac.at/ABO/+Z167109505
67,Z164171704,http://data.onb.ac.at/ABO/+Z164171704
67,Z155179309,http://data.onb.ac.at/ABO/+Z155179309
67,Z176617709,http://data.onb.ac.at/ABO/+Z176617709
67,Z16813510X,http://data.onb.ac.at/ABO/+Z16813510X
67,Z158141706,http://data.onb.ac.at/ABO/+Z158141706
68,Z220632607,http://data.onb.ac.at/ABO/+Z220632607
68,Z98085407,http://data.onb.ac.at/ABO/+Z98085407
68,Z164417705,http://data.onb.ac.at/ABO/+Z164417705
68,Z59476702,http://data.onb.ac.at/ABO/+Z59476702
68,Z164417900,http://data.onb.ac.at/ABO/+Z164417900
68,Z9808550X,http://data.onb.ac.at/ABO/+Z9808550X
68,Z198356802,http://data.onb.ac.at/ABO/+Z198356802
68,Z98085602,http://data.onb.ac.at/ABO/+Z98085602
68,Z198356905,http://data.onb.ac.at/ABO/+Z198356905
68,Z164417808,http://data.onb.ac.at/ABO/+Z164417808
69,Z198358008,http://data.onb.ac.at/ABO/+Z198358008
69,Z198358100,http://data.onb.ac.at/ABO/+Z198358100
69,Z164419003,http://data.onb.ac.at/ABO/+Z164419003
69,Z150703100,http://data.onb.ac.at/ABO/+Z150703100
69,Z98086503,http://data.onb.ac.at/ABO/+Z98086503
69,Z198357909,http://data.onb.ac.at/ABO/+Z198357909
69,Z164418801,http://data.onb.ac.at/ABO/+Z164418801
69,Z98086606,http://data.onb.ac.at/ABO/+Z98086606
69,Z150703008,http://data.onb.ac.at/ABO/+Z150703008
69,Z164418904,http://data.onb.ac.at/ABO/+Z164418904
69,Z98086400,http://data.onb.ac.at/ABO/+Z98086400
70,Z198359104,http://data.onb.ac.at/ABO/+Z198359104
70,Z164420108,http://data.onb.ac.at/ABO/+Z164420108
70,Z164420704,http://data.onb.ac.at/ABO/+Z164420704
70,Z198359700,http://data.onb.ac.at/ABO/+Z198359700
70,Z98087702,http://data.onb.ac.at/ABO/+Z98087702
70,Z198359001,http://data.onb.ac.at/ABO/+Z198359001
70,Z98087805,http://data.onb.ac.at/ABO/+Z98087805
70,Z98088408,http://data.onb.ac.at/ABO/+Z98088408
70,Z222103304,http://data.onb.ac.at/ABO/+Z222103304
70,Z222164408,http://data.onb.ac.at/ABO/+Z222164408
70,Z222164500,http://data.onb.ac.at/ABO/+Z222164500
71,Z206796808,http://data.onb.ac.at/ABO/+Z206796808
71,Z206796705,http://data.onb.ac.at/ABO/+Z206796705
71,Z124945102,http://data.onb.ac.at/ABO/+Z124945102
71,Z197223909,http://data.onb.ac.at/ABO/+Z197223909
71,Z20679700X,http://data.onb.ac.at/ABO/+Z20679700X
71,Z156308300,http://data.onb.ac.at/ABO/+Z156308300
71,Z97788605,http://data.onb.ac.at/ABO/+Z97788605
71,Z205833706,http://data.onb.ac.at/ABO/+Z205833706
71,Z206796900,http://data.onb.ac.at/ABO/+Z206796900
71,Z171717908,http://data.onb.ac.at/ABO/+Z171717908
71,Z43125907,http://data.onb.ac.at/ABO/+Z43125907
72,Z205606404,http://data.onb.ac.at/ABO/+Z205606404
72,Z205002808,http://data.onb.ac.at/ABO/+Z205002808
72,Z174226109,http://data.onb.ac.at/ABO/+Z174226109
72,Z258872309,http://data.onb.ac.at/ABO/+Z258872309
72,Z17136930X,http://data.onb.ac.at/ABO/+Z17136930X
72,Z174226201,http://data.onb.ac.at/ABO/+Z174226201
72,Z180627808,http://data.onb.ac.at/ABO/+Z180627808
72,Z155625905,http://data.onb.ac.at/ABO/+Z155625905
72,Z220632504,http://data.onb.ac.at/ABO/+Z220632504
